,Question,Answer
15,What happened to my datasets from previous sessions?,"By default, datasets are non-persistent, which means they are deleted from the
database whenever you exit (all) Python sessions in which you've imported
FiftyOne. To make a dataset persistent, set itspersistentproperty toTrue: Seethis pagefor more details about dataset
persistence. [NOTE: Note FiftyOne does not store the raw data in datasets directly (only the
labels), so your source files on disk are never deleted!]"
16,Why didn't changes to my dataset save?,"Althoughaddingsamples to datasets immediately writes them to the
database, remember that anyeditsthat you make to asampleor itsframe labelswill not be written to the database until
you callsample.save(). Similarly,settingthe properties of aDatasetobject will be immediately
saved, but you must calldataset.save()whenever youeditfields such asinfoorclassesin-place. Refer tothis sectionfor more details about
modifying samples andthis sectionfor more details about
storing dataset-level information."
17,Can I share a dataset with someone else?,"Yes! Here's a couple options: Option 1: Export and share You can easilyexport a datasetin one line of
code, zip it, and share the zip with your collaborator, who can thenload it in a few lines of code. Option 2: Sharing a remote session Alternatively,see this FAQfor
instructions on launching a remote session and inviting collaborator(s) to
connect to it from their local machines."
18,Can I use FiftyOne in multiple shells?,"Yes! Any changes you make to a dataset or its samples in one shell will be
reflected in the other shells whenever you access that dataset. You can also
launchmultiple App instances. Working with the same dataset in multiple shells simultaneously is generally
seamless, even if you are editing the dataset, as theDatasetclass does not
store itsSampleobjects in-memory, it loads them from the database only when
they are requested. Therefore, if you add or modify aSamplein one shell,
you will immediately have access to the updates the next time you request thatSamplein other shells. The one exception to this rule is thatDatasetandSampleobjects
themselves are singletons, so if you hold references to these objects
in-memory, they will not be automatically updated by re-accessing them, since
the existing instances will be returned back to you. If a dataset may have been changed by another process, you can always manually
callDataset.reload()to reload
theDatasetobject and all in-memorySampleinstances that belong to it."
19,Can I launch multiple App instances on a machine?,Yes! Simply specify a differentportfor each App instance that you create.
20,Can I connect multiple App instances to the same dataset?,"Yes, multiple App instances can be connected to the sameDatasetvia remote
sessions. [NOTE: Note Keep in mind that all users must have ssh access to the system from which
the remote session(s) are launched in order to connect to them.] You can achieve multiple connections in two ways: Option 1: Same dataset, multiple sessions The typical way to connect multiple App instances to the same dataset is to
create a separate remote session instance on the machine that houses theDatasetof interest for each local App instance that you want to create.See this FAQfor instructions on
doing this. Option 2: Same dataset, same session Another option is to connect multiple App instances to a single remote session. First,create a remote sessionon the system that
houses theDatasetusing either the CLI or Python: Then one or more users can use the CLI on their local machine toconnect to the remote session. [NOTE: Note When multiple App instances are connected to the same Session , any
actions taken that affect the session (e.g., loading a view ) will be reflected in all connected
App instances.]"
21,Can I connect to multiple remote sessions?,"Yes, you can launch multiple instances of the App locally, each connected to a
different remote session. The key here is to specify a differentlocal portfor each App instance that
you create. Suppose you are connecting to multiple remoteSessioninstances that were
created on different remote systems (e.g., an EC2 instance and a remote server
that you own), using commands similar to: On your local machine, you canconnect to these remote sessionsusing a
different local portXXXXandYYYYfor each. If you do not have FiftyOne installed on your local machine, open a new
terminal window on your local machine and execute the following command to
setup port forwarding to connect to your remote sessions: In the above,[<username#>@]<hostname#>refers to a remote machine andRRRR#is the remote port that you used for the remote session. Alternatively, if you have FiftyOne installed on your local machine, you canuse the CLIto automatically configure port
forwarding and open the App in your browser as follows: [NOTE: Note You can also serve multiple remote sessions from the same machine .]"
22,Can I serve multiple remote sessions from a machine?,"Yes, you can create multiple remote sessions on the same remote machine by
specifying different ports for eachSessionthat you create: On your local machine(s), you can nowconnect to the remote sessions. Connections
can be set up using port forwarding in the following way: In the above,[<username>@]<hostname>refers to your remote machine, andWWWWandZZZZare any 4 digit ports on your local machine(s). Alternatively, if you have FiftyOne installed on your local machine, you canuse the CLIto automatically configure port
forwarding and open the App in your browser as follows:"
23,Can I use my own MongoDB database?,"Yes, you can configure FiftyOne to connect to your own MongoDB instance by
setting thedatabase_uriproperty of yourFiftyOne config. Refer tothis pagefor more information."
24,Too many open files in system?,"If you are a MacOS user and see a âtoo many open files in systemâ error when
performing import/export operations with FiftyOne, then you likely need to
increase the open files limit for your OS. Following the instructions inthis postshould resolve the issue for you."
25,Can I downgrade to an older version of FiftyOne?,"Certainly, refer tothese instructions."
26,Are the Brain methods open source?,"Yes, theFiftyOne Brainmethods are open
source. Check out theBrain documentationfor detailed
instructions on using the various Brain methods."
27,Does FiftyOne track me?,"FiftyOne tracks anonymous UUID-based usage of the App by default. We are a
small team building an open source project, and basic knowledge of how users
are engaging with the project is critical to informing the roadmap of the
project. [NOTE: Note You can disable tracking by setting the do_not_track flag of your FiftyOne config .]"
