,Question,Answer
77,Are the Brain methods open source?,"Yes, theFiftyOne Brainmethods are open
source. Check out theBrain documentationfor detailed
instructions on using the various Brain methods."
78,Does FiftyOne track me?,"FiftyOne tracks anonymous UUID-based usage of the App by default. We are a
small team building an open source project, and basic knowledge of how users
are engaging with the project is critical to informing the roadmap of the
project. [NOTE: Note You can disable tracking by setting the do_not_track flag of your FiftyOne config .]"
79,What is the price of iPhone 15 Pro in India?,"₹1,34,900 - ₹1,84,900 depending on storage (128GB to 1TB)"
80,What is the price of 128GB variant?,"₹1,34,900 (MRP ₹1,39,900)"
81,How much does 256GB model cost?,"₹1,44,900 (MRP ₹1,49,900)"
82,What is the price of 512GB version?,"₹1,64,900 (MRP ₹1,69,900)"
83,How much for 1TB storage option?,"₹1,84,900 (MRP ₹1,89,900)"
84,Are there any ongoing discounts?,"Yes! Current discount: ₹5,000 off on all variants (Oct 2023)"
85,Does Flipkart offer exchange bonus?,"Yes! Extra ₹5,000 exchange bonus over your device value"
86,What EMI options are available?,"No-cost EMI starts from ₹7,494/month (ICICI, HDFC, SBI cards)"
87,What are the key features of iPhone 15 Pro?,"A17 Pro chip, Titanium design, 48MP camera, Dynamic Island, USB-C, ProMotion display"
88,Does iPhone 15 Pro support 5G in India?,"Yes, it supports all 5G bands available in India"
89,What is the screen size and type of iPhone 15 Pro?,6.1-inch Super Retina XDR OLED with ProMotion (120Hz adaptive refresh)
90,What processor does iPhone 15 Pro use?,New A17 Pro chip with 6-core CPU and 6-core GPU
91,How many cameras does iPhone 15 Pro have?,"Triple camera system: 48MP main, 12MP ultra-wide, 12MP telephoto with 3x zoom"
92,What is the battery capacity of iPhone 15 Pro?,Approx. 3274 mAh (typical usage up to 23 hours video playback)
93,Does iPhone 15 Pro come with a charger?,"No, only includes USB-C cable (20W charger sold separately)"
94,What charging options does iPhone 15 Pro support?,"Supports USB-C fast charging (50% in 30 mins), MagSafe, Qi wireless charging"
95,Is iPhone 15 Pro water resistant?,"Yes, IP68 rating (6m for 30 minutes)"
96,What iOS version comes pre-installed?,iOS 17 with all latest features pre-installed
97,What storage options are available?,"128GB, 256GB, 512GB, and 1TB options"
98,Does it support dual SIM?,"Yes, nano-SIM + eSIM (dual eSIM also supported)"
99,What is the warranty period?,1 year Apple warranty + 6 months additional Flipkart warranty
100,Does Flipkart offer exchange offers?,"Yes, old smartphone exchange with value up to ₹20,000"
101,Are there any Flipkart special discounts?,"Yes, check product page for bank offers and coupons"
102,What payment options are available?,"All major cards, UPI, EMI, Net Banking, Pay Later"
103,How long does delivery take?,Usually 3-7 days depending on location
104,Is cash on delivery available?,"Yes, COD available up to ₹50,000"
105,What accessories come in the box?,"iPhone, USB-C cable, documentation, SIM eject tool"
106,Does it support wireless charging?,"Yes, supports MagSafe (15W) and Qi (7.5W) wireless charging"
107,What colors are available?,"Black Titanium, White Titanium, Blue Titanium, Natural Titanium"
108,How durable is the Ceramic Shield?,4x better drop performance than previous glass
109,What is the refresh rate of the display?,ProMotion 120Hz adaptive refresh rate
110,Does it support Always-On Display?,"Yes, with customizable widgets"
111,What is the peak brightness?,2000 nits peak brightness (HDR)
112,How does the A17 Pro chip perform?,40% faster GPU performance than A16 Bionic
113,What photography features does it have?,"Night mode, Photonic Engine, Smart HDR 5, Portrait with Depth Control"
114,Can it record ProRes video?,"Yes, 4K ProRes at 60fps with external storage"
115,What is the Dynamic Island feature?,Interactive notification area replacing notch
116,Does it support USB-C fast charging?,"Yes, supports up to 27W with compatible charger"
117,How do I track my Meesho order?,"Log into your Meesho account, go to 'My Orders,' and click 'Track Order' for real-time updates."
118,Why is my Meesho order delayed?,Delays can occur due to logistics issues. Check the tracking page or contact Meesho support for details.
119,How do I cancel a Meesho order?,"Go to 'My Orders,' select the item, and click 'Cancel Order' before it enters the shipping process."
120,What is Meesho's return policy?,You can return most products within 7 days of delivery if they’re unused/damaged. Initiate returns via 'My Orders.
121,How do I return a product on Meesho?,"Go to 'My Orders,' select the item, and follow the return instructions. A pickup will be scheduled."
122,Are Meesho products genuine?,"Yes, Meesho partners with verified suppliers. Report suspicious products to support@meesho.com."
123,Why did I receive a damaged product?,Contact Meesho support within 48 hours with photos. You’ll get a refund or replacement.
124,How do I contact Meesho customer care?,Use the 'Help Center' in the app or call Meesho’s helpline at 1800-123-1234.
125,Does Meesho offer cash on delivery (COD)?,Yes! COD is available for most orders. Check payment options at checkout.
126,How do I apply a coupon on Meesho?,Enter the coupon code in the 'Apply Coupon' field during checkout.
127,Why is my coupon code not working?,"Ensure the code is valid, hasn’t expired, and meets the minimum order value criteria."
128,Does Meesho have a mobile app?,Yes! Download the Meesho app from Google Play or the App Store.
129,How do I become a Meesho seller?,Register as a seller on the Meesho Seller Portal (seller.meesho.com) and submit required documents.
130,What are Meesho's seller fees?,Meesho charges a commission fee per sale. Check the Seller Portal for detailed pricing.
131,How do I check my Meesho refund status?,Refunds appear in 5-7 business days. Check 'Order Details' or your payment source.
132,Can I exchange a product on Meesho?,Exchanges depend on seller policy. Initiate a return and place a new order if needed.
133,What payment methods does Meesho accept?,"Credit/debit cards, UPI, Net Banking, and Cash on Delivery (COD)."
134,How do I reset my Meesho account password?,Click 'Forgot Password' on the login page and follow the OTP sent to your mobile.
135,Why is my Meesho account blocked?,Accounts are blocked for policy violations. Contact support for resolution.
136,Does Meesho deliver internationally?,"Currently, Meesho only delivers within India."
137,How do I check product availability?,Product pages show stock status. Out-of-stock items are marked 'Not Available.
138,Can I order without a Meesho account?,"No, you need an account to place orders. Sign up with your mobile number."
139,What is Meesho's delivery time?,"Delivery takes 4-7 business days, depending on your location and product."
140,Why is my order showing 'Pending'?,Pending status means payment is being verified. It updates within 24 hours.
141,How do I address wrong product delivery?,Contact support immediately with order details and photos for a resolution.
142,Does Meesho offer wholesale pricing?,Yes! Resellers can order in bulk at discounted rates via the Meesho app.
143,Are Meesho prices inclusive of GST?,"Yes, all prices include GST as applicable."
144,How do I delete my Meesho account?,Email support@meesho.com with your registered mobile number to request deletion.
145,Can I modify my shipping address after ordering?,Contact support immediately if the order hasn’t shipped.
146,How do I review a product on Meesho?,"After delivery, go to 'My Orders' and click 'Rate Product' to leave a review."
147,Does Meesho have seasonal sales?,Yes! Check the app during festivals like Diwali or Republic Day for mega discounts.
148,How do I join Meesho’s affiliate program?,Visit the Meesho Reseller page and sign up to start earning commissions.
149,Why is my Meesho app crashing?,"Update the app, clear cache, or reinstall it. If issues persist, contact support."
150,What is Meesho’s return pickup process?,A logistics partner will collect the item from your address within 2-3 working days.
151,Can I cancel a return request?,"Yes, go to 'My Returns' and cancel the request before the pickup is scheduled."
152,How do I check my Meesho wallet balance?,Go to 'My Wallet' in the app to view your balance and transaction history.
153,Are Meesho products returnable during sales?,"Yes, standard return policies apply unless stated otherwise in sale terms."
154,How do I track a returned item’s status?,Check the 'My Returns' section for updates on refunds or replacements.
155,Why is my refund amount less than the order value?,Shipping fees or discounts may be excluded. Check the refund policy for details.
156,Does Meesho provide invoices?,"Yes, download the invoice from 'My Orders' after delivery."
157,Can I order a product again after returning it?,"Yes, place a new order once the return is processed."
158,How do I report a seller on Meesho?,Use the 'Report Seller' option on the product page or contact support.
159,What are Meesho’s working hours for support?,"Customer care is available 24/7 via chat, email, or phone."
160,Does Meesho have a referral program?,Yes! Earn rewards by inviting friends to join Meesho. Check the 'Refer & Earn' section.
161,How do I unsubscribe from Meesho notifications?,Go to 'Notification Settings' in the app to customize preferences.
162,Why am I not receiving Meesho OTP?,Check network connectivity or request OTP again. Ensure your number is registered.
163,Can I order from Meesho without the app?,Yes! Use the Meesho website (www.meesho.com) to place orders.
164,How do I check product dimensions on Meesho?,"Product details include size, weight, and dimensions. Scroll down on the product page."
165,Does Meesho sell branded products?,Yes! Meesho offers both branded and unbranded items. Check product descriptions.
166,What is Meesho’s supplier policy?,Suppliers must meet quality standards and legal requirements. Apply via the Seller Portal.
